name,language,stargazers_count,forks_count,size,created_at,pushed_at,fork
CPP_MODULES,C++,0,0,441,2025-10-09 18:58:14+00:00,2026-08-20 04:51:54+00:00,False
cub3D,C,2,0,8559,2025-10-11 17:57:19+00:00,2026-02-06 18:03:12+00:00,False
FRONTEND.,HTML,0,0,6812,2025-11-20 05:19:25+00:00,2025-12-28 19:53:11+00:00,False
Graduation-project,HTML,1,0,31178,2026-01-02 23:22:20+00:00,2026-01-18 17:17:40+00:00,False
HTML-NOTES,notes,0,0,5,2025-10-28 13:50:25+00:00,2025-10-28 14:00:04+00:00,False
Inception,Shell,0,0,23,2026-08-01 19:52:33+00:00,2026-08-02 11:14:48+00:00,False
JavaScrept,notes,0,0,26,2025-07-19 12:24:02+00:00,2025-07-26 21:31:47+00:00,False
Minishell,C,0,0,56,2025-09-05 16:48:54+00:00,2026-05-17 10:40:54+00:00,False
MiniTalk,C,0,0,445,2025-10-16 14:57:20+00:00,2025-10-16 15:01:53+00:00,False
nar,notes,0,0,1340,2026-09-12 18:33:13+00:00,2026-09-12 20:00:34+00:00,False
Narjes-almasri,notes,0,0,11544,2025-07-22 13:46:31+00:00,2026-09-16 04:25:05+00:00,False
philosophers,C,0,0,64,2025-08-31 17:15:45+00:00,2025-09-03 13:18:47+00:00,False
PSI_Capstone,notes,0,0,35,2026-09-12 17:54:50+00:00,2026-09-13 17:24:36+00:00,True
python-for-security,Jupyter Notebook,0,0,60,2026-09-08 08:12:25+00:00,2026-09-12 13:18:01+00:00,False
SOS,C++,0,0,46255,2026-05-08 21:54:51+00:00,2026-05-20 13:16:48+00:00,False
so_long,C,0,0,1714,2025-02-27 17:56:21+00:00,2025-11-17 16:33:02+00:00,False
